Stock2	Cas	Opn CL	15x	B15x60; TV60F6. Newcastle, UK
Mel20	Per	Opn CL	15x	B15x70; TV60F6. Newcastle, UK
Mel25	Tau	Opn CL	36x; 15x, 51x	Hydes. C114F8; TV60F6. Venice, IT; Newcastle, UK
Mel111	CmB	Opn CL	15x	B15x70. Newcastle, UK
Cr39	Ori	Opn CL	36x; 15x, 51x	TV60F6. Cambridge, UK
Cr65	Tau	Opn CL	15x	TV60F6. Cambridge, UK
Cr68	Ori	Opn CL	15x, 30x	TV60F6. Newcastle, UK; Cambridge, UK
Cr89	Gem	Opn CL	15x	TV60F6. Newcastle, UK; Cambridge, UK
Cr97	Mon	Opn CL	15x, 30x	TV60F6. Cambridge, UK
Cr106	Mon	Opn CL	15x, 30x	TV60F6. Cambridge, UK
Cr107	Mon	Opn CL	15x, 30x	TV60F6. Cambridge, UK
Cr399	Vul	Opn CL	15x	B15x70. Newcastle, UK
NGC1750	Tau	Opn CL	15x, 51x	TV60F6. Cambridge, UK
NGC1981	Ori	Opn CL	15x, 51x	TV60F6. Cambridge, UK
NGC2264	Mon	Opn CL	36x; 15x, 51x	C114F8; TV60F6. Venice, Italy; Cambridge, UK
NGC1980	Ori	Neb	15x	TV60F6. Cambridge, UK
NGC2392	Gem	Pln Neb	15x, 51x, 72x	TV60F6. Cambridge, UK
27 Hydra	Hya	Dbl Star	51x	TV60F6. Cambridge, UK
Pherkad-Pherkad minor	UMi	Dbl Star	51x	TV60F6. Cambridge, UK
19-20	Dra	Dbl Star	51x	TV60F6. Cambridge, UK
Eta-HIP80309A	Dra	Dbl Star	51x	TV60F6. Cambridge, UK
Albireo	Cyg	Dbl Star	72x	C114F8; TV60F6. Venice, IT; Newcastle, UK
Sun		Star	50x; 15x, 51x	TV60F6. Cambridge, UK
Moon		Satellite	36x, 90x, 180x; 15x, 51x, 72x, 103x, 144x	C114F8; B15x70; TV60F6. Venice, IT; Newcastle, UK; Cambridge, UK
Mercury		Planet	15x	B15x70. Newcastle, UK
Venus		Planet	36x; 72x, 144x	C114F8; TV60F6. Venice, IT; Cambridge, UK
Mars		Planet	36x, 90x,180x	C114F8. Venice, IT
Jupiter		Planet	36x, 90x, 180x; 72x, 103x, 144x	C114F8; TV60F6. Venice, IT; Newcastle, UK; Cambridge, UK
Saturn		Planet	36x, 90x, 180x	C114F8. Venice, IT
Uranus		Planet	10x; 15x; 15x	B10x50; B15x70; TV60F6. Lorenzago, IT; Newcastle, UK
