				
Astronomy observation log - 20150527				
by Piero Dalle Pezze				
				
completed:	TRUE			
Eyepieces	TV Panoptic 24mm, Nagler 7mm, Vixen SLV 5mm, Bresser 2x SA			
Power, EP, FOV	15x, 4mm, 4.30deg; 51x, 1.2mm, 1.54deg; 72x, 0.8, 0.69deg; 144x, 0.4mm, 0.35deg			
Filters				
Target	Cons	Type	Power	Notes
M47	Pup	Opn CL	15x, 51x	Superb anchor shape. 51x reveals many more details. Quite tight double star near the centre. From Alpha Mon, go 5 degrees South.
M46	Pup	Opn CL	15x, 51x	Missed as I confused it with the aggregation of stars at North-West of 2 Pup A and 4 Pup. 
M48	Hya	Opn CL	15x	Not easy to see if the sky is not very dark. Fortunately it is quite large. It is the third vertex of the triangle formed by the trio of stars "1Hya C Hya 2Hya (CHya mag 3.8 is the brightest in the middle of the trio) and 29 Mon (mag 4.35). 
Moon	Tau	Satellite	72x	Waxing crescent 25%. Very crisp details. 
Venus	Cet	Planet	72x, 144x	144x was too much. Possibly because the planet was too low, or because the eyepiece did not cool down properly. In any case, even at 72x, no planet atmosphere detail. 
Delta	Ori	Dbl Star	72x	Mintaka. Easily split. 
Zeta	Ori	Dbl Star	72x	Alnitak. Separated components A and C. Cannot remember if B was detectable.
Sigma	Ori	Dbl Star	72x	Visible 5 stars, although only able to split Sigma Orionis into two stars.
Iota	Ori	Dbl Star	72x	Hatsya. Very nice double star. The companion is quite dim and small compared to Hatsya. Companion is grey. 
Alpha	CMa	Dbl Star	72x	Sirius. Not able to split Sirius. Too much bright.
Alpha	Gem	Dbl Star	72x	Castor. The companion Castor B is also bright and the two stars are quite close to each other. Same colour. Castor C is very dim and more distant from the other two.
Zeta	Gem	Dbl Star	72x	Mekbuda. Easily split double star.
M35	Gem	Opn CL	72x	Many other stars are visible. 
				
				
				
Date	25/03/2015			
Time	21:00-22:45			
Location	Cambridge, UK			
Altitude	12m			
Temperature	6C (no wind)			
Seeing	2 - Slight undulations			
Transparency	3 - Somewhat clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Plossl 20mm, Nagler 7mm, Vixen SLV 5mm, Bresser 2x SA			
Power, EP, FOV	15x, 4mm, 4.30deg; 18x, 3.3mm, 2.73deg; 30x, 2mm, 2.15deg; 51x, 1.2mm, 1.54deg; 72x, 0.8mm, 0.69deg			
Filters	Astronomik UHC, OIII			
Target	Cons	Type	Power	Notes
M47	Pup	Opn CL	15x	Rich of stars. These are quite spread, making this cluster easy to detect and study.
M46	Pup	Opn CL	15x	This is a compact cluster. It is detectable. 
M48	Hya	Opn CL	15x	Dim open cluster. It requires transparent skies to shine properly.
M65	Leo	Galaxy	15x, 18x, 30x	Invisible. Sky not transparent enough. I think an exit pupil of 3.3mm is a good compromise between 4mm and 2mm. 2mm is too much for the TV60 on this targets.
M66	Leo	Galaxy	15x, 18x, 30x	Invisible. Sky not transparent enough.
NGC2244	Mon	Opn CL	15x	Satellite cluster. Six stars in two columns 
NGC2264	Mon	CL+Neb	15x	Christmas tree. 
NGC2392	Gem	Pln Neb	15x, 51x +/- OIII, UHC, 72x	Eskimo nebula. From Wasat (Delta Gem) move east to 63 Gem. 63 Gem is the brightest star of a 'half moon' of 7 stars. The Eskimo nebula is next to the star HIP36370 (mag8.2), which is a bit isolated but very close to 63 on the opposite direction of Wasat. You can spot it at 15x without filters, but you see it only with averted vision. It appears as a very small patch next to the star. At 51x the nebula is visible as a grey little ball. The boundaries are obfuscated. An UHC filter helps increasing the contrast between the sky and the nebula. An OIII filter shows even more contrast, although I think an UHC filter is better at this exit pupil (1.2mm). Using these filters, the boundaries of the nebula appear much clearer although no structure is visible at this magnification. At 72x (and no filter) is still visible as a grey little ball. Boundaries are obfuscated.  
Jupiter	Cnc	Planet	72x	Quick observation. Two belts and four satellite were visible. 
Alpha	Hya	Star	72x	Alphard. Yellow star
Alpha	Vir	Star	72x	Spica. Blue star
Alpha	Leo	Dbl Star	15x, 72x	Regulus. Blue-white double star visible at 15x. Clearly split at 72x although not all this magnification is actually required for split it.
				
				
				
Date	06/04/2015			
Time	21:00-22:45			
Location	Cambridge, UK			
Altitude	12m			
Temperature	8C (no wind)			
Seeing	2 - Slight undulations			
Transparency	3 - Somewhat clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Nagler 7mm, Vixen SLV 5mm, Bresser 2x SA			
Power, EP, FOV	15x, 4mm, 4.30deg; 30x, 2mm, 2.15deg; 51x, 1.2mm, 1.54deg; 72x, 0.8mm, 0.69deg; 103x, 0.6mm, 0.77deg			
Filters	Astronomik UHC, OIII			
Target	Cons	Type	Power	Notes
NGC1647	Tau	Opn CL	15x, 51x	In this period of the year, Taurus is quite low on the horizon. This object did not show many stars due to the light pollution and atmosphere. You will need darker skies or look at it when it is higher on the horizon. From Aldebaran, go east for 4 degrees. It is near a couple of stars and i Tauri (mag 5), which is the brightest star in the area. 51x did not help tonight, as the object became too dim. I suspect a ~30x, exit pupil 2.0mm would be the best for these targets. 
NGC1746	Tau	Opn CL	15x, 51x	After finding NGC1647, from i Tauri, go east for other 4-5deg until you see iota(?) Tauri (102 Tau, mag 4.6). NGC1746 is a medium size cluster at 15x at west of 102 Tau. It also appears very nice at 51x.
NGC1817	Tau	Opn CL	15x, 51x	After finding NGC1647, from i Tauri, go south-east for 5 deg until you see m Tauri (mag 4.9). NGC1817 and 1807 appear on the same field of view at both 15x and 51x. 15x is not sufficient for seeing details of these two clusters. These are accessible at 51x. NGC1817 seems less visible than NGC1807
NGC1807	Tau	Opn CL	15x, 51x	See NGC1817. NGC1807 is more spectacular than NGC1817 at 51x possibly because it has brighter stars. 
NGC1662	Ori	Opn CL	15x, 51x	A little open cluster near the top of Orion's shield. It is also reachable from Aldebaran (Alpha Tauris) moving towards south for about 8deg. At 15x it only shows it compactness. At 51x it shows some stars. This is a compact open cluster formed by relatively visible stars.  
M1	Tau	SN Rem	15x; 51x +/- OIII, UHC	Crab Nebula. Invisible after trying with different magnifications and averted vision. Filters did not help either. Darker skies are required for this target. Possibly try with an eyepiece at 2.0mm exit pupil.
M65	Leo	Galaxy	30x	Leo triplet. Elongated grey patch visible with averted vision. Shape of a cigar. At 30x, the patch is visible more easily than at 15x. The leo triplet is more easily detectable when the telescope is slightly moved. The patches will move accordingly.
M66	Leo	Galaxy	30x	Leo triplet. As for M65. 
M51	CVn	Galaxy	30x	Whirlpool Galaxy. Grey patch without a structure visible with averted vision. A darker sky will make the difference on this target.
Jupiter	Cnc	Planet	103x	Two belts clearly visible and a faint one in the South hemisphere was detectable. All four satellite were visible. Io and Europa were very tight at East of the planet.
NGC3242	Hya	Pln Neb	15x; 51x +/- OIII, UHC; 72x	Ghost of Jupiter. By naked eye, from Alphard (Alpha Hydrae, mag 1.95), move east and detect the Lambda Hydrae (mag 3.6). This star appears like a star system extending north and south from Lambda Hydrae. Continue moving east following Hydrae body. The next star is slightly south of Lambda. This is Mu Hydra (mag 3.6). Then next one is Nu Hydra (mag 3.10). Mu Hydra will appear Yellow/Orange and almost isolated. It has a little star on the north. Slightly south, you see two bright couples of stars: two more distant at east (HIP50693, HIP50764), two closer at west (HIP51170, HIP51193). Consider the tight couple at west. There is a little star (near this couple in the direction of the other couple. If you use the tight couple and the little star as pointer and you move for another segment in the direction of the little star, the planetary nebula will appear. This appears as a faint tiny and diffuse light. No structure. At 51x it appears like a little full circle. An OIII seems more effective than an UHC filter here possibly because the planetary nebula is low on the horizon. The OIII filter makes it appear from the sky, whereas really few nearby stars are visible. 72x does not show more detail. UHC filter works fine but does not boost the object at the same level as the OIII does.
				
				
				
Date	09/04/2015			
Time	21:20-22:45			
Location	Cambridge, UK			
Altitude	12m			
Temperature	9C (no wind)			
Seeing	2 - Slight undulations			
Transparency	2 - Poor			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Nagler 3.5mm			
Power, EP, FOV	15x, 4mm, 4.30deg; 103x, 0.6mm, 0.77deg			
Filters	Variable Polarizing Filter			
Target	Cons	Type	Power	Notes
Jupiter	Cnc	Planet	15x; 103x +/- VPF	At the eyepiece from right to left: Callisto, Io, Jupiter, Europa and Ganymede. This evening I decided to test my new eyepiece (Nagler 3.5mm). Due to the lack of transparency, I only tested this on Jupiter. This was the first time I observed at 103x without using a Bresser 2x SA. The difference was quite substantial. I had the impression that the Nagler 7mm with Bresser 2x SA was more colour corrected than the Nagler 3.5mm only at the edge (last 10% before the field stop). This might have been caused by the presence of light fog though, instead of the eyepiece. I will test this again. On the other hand, the lack of the Bresser 2x SA (4 lens less) improved transparency, and this was detectable. With a Nagler 7mm and Bresser 2x SA, I am able to see a bit more than the two main belts only when the seeing is quite good. Tonight, although the seeing was acceptable, but the sky was quite foggy. The main two belts (North and South Equatorial Belts) were visible and other two belts at the poles were easily detectable (North Polar Region, S.S. Temperate Belt). In the North and South Equatorial Belts, some shades were also detectable. No direction was visible but it was possible to see that the borders and belt colours were rough and not homogeneous. This was particularly true for the North Equatorial Belt. No GRS was detectable. The use of a single or double polarizing filter did not improve image quality. The whole image only appeared too dark and the minute details previously described were lost. Possibly, the VPF is more appropriate for brighter objects (e.g. the Sun and the Moon) or Jupiter during sunset or dawn. 
				
				
				
Date	11/04/2015			
Time	18:00-19:00			
Location	Cambridge, UK			
Altitude	12m			
Temperature	12C (wind)			
Seeing	2 - Slight undulations			
Transparency	2 - Poor			
Telescopes	Tele Vue 60 F6			
Eyepieces	Nagler 7mm, Vixen SLV 5mm			
Power, EP, FOV	51x, 1.2mm, 1.54deg; 72x, 0.8mm, 0.69deg			
Filters	Variable Polarizing Filter			
Target	Cons	Type	Power	Notes
Sun	Psc	Star	51x +/- VPF; 72x	Two spot areas: one in the north, the other one in the south. 5 small spots where visible in the north, 4-5 in the south spot area. 2 small spots in the centre of the sun. Best view 51x, using variable polarising filter. No granularity was visible due to the bad seeing.
				
				
				
Date	14/04/2015a			
Time	18:00-19:00			
Location	Cambridge, UK			
Altitude	12m			
Temperature	21C (no wind)			
Seeing	2 - Slight undulations			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	Nagler 7mm, Vixen SLV 5mm, Nagler 3.5mm			
Power, EP, FOV	51x, 1.2mm, 1.54deg; 72x, 0.8mm, 0.69deg; 103x, 0.6mm, 0.77deg			
Filters	Variable Polarizing Filter			
Target	Cons	Type	Power	Notes
Sun	Psc	Star	51x +/- VPF; 72x, 103x	Today at 4pm there was a gigantic flare (CME) about 1 sun radius long. Unfortunately I was not at home. I looked at the Sun, but the flare was gone by the time I set up the telescope. A large group of black spots was visible in the North hemisphere. Around them granulation was clearly visible. Granulation was also detectable, although with some difficulty, on the Sun surface at 51x using a VPF. At 72x the Sun revealed a nice image where Sun spot details were visible as well as surface granulation. 103x was just too much for this seeing. Although it can be used for magnifying the solar spots, granulation is completely lost. In addition, floaters become a real issue when watching the sun using 0.6mm exit pupil. I think the best magnification is between 51x and 72x. The Vixen 5mm works very well with the Sun. This was used without VPF filter.
				
				
				
Date	14/04/2015b			
Time	21:30-23:20			
Location	Cambridge, UK			
Altitude	12m			
Temperature	9C (no wind)			
Seeing	2 - Slight undulations			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Plossl 20mm, Nagler 7mm, Vixen SLV 5mm, Nagler 3.5mm			
Power, EP, FOV	15x, 4mm, 4.30deg; 18x, 3.3mm, 2.7deg; 51x, 1.2mm, 1.54deg; 72x, 0.8mm, 0.69deg; 103x, 0.6mm, 0.77deg			
Filters				
Target	Cons	Type	Power	Notes
M35	Gem	Opn CL	15x	Under dark sky this object emerges clearly. A few bright stars with many little faint stars in background. Averted vision helps, but this object is not too demanding if the sky is sufficiently transparent.
M65	Leo	Galaxy	15x, 18x	This object requires aperture and dark sky to be detected and viewed properly. Just very faint object visible through averted vision. An exit pupil of 3.3mm is better than 4.0mm. I wonder whether something between 2.5 and 2.0mm can improve this view even more.
M66	Leo	Galaxy	15x, 18x	See above
Mel111	Com	Opn CL	15x	Coma Berenices star cluster. Located just south of Gamma Com, this large object is as spectacular as M44. Very rich of stars, some bright some small and fainting. Some are doubles. As this is a large object, 15x is the adequate magnification. As Coma Berenices does not have bright stars, you can find this object knowing that is between Denebola (Leo) and Cor Caroli (Alpha CVn).
M53	Com	Glob CL	15x, 18x, 51x	This object is not easy to find. It is just 1-2 degrees east of Diadem (Alpha Com), but this star is very dim to be seen, unless the sky is enough dark. Instead use the Virgo trapezium and point to north following the star Vindemiatrix (Virgo). You can find Diadem just going some degree north from Vindemiatrix. M53 appears as a little grey cloud at 15x. No detail of this globular cluster is visible. At 18x, the contrast is a bit improved, but the image is the same. At 51x this objects  is larger and well detectable, but still appears like a grey cloud.
NGC5053	Com	Glob CL	15x, 18x, 51x	Invisible. This is a bit smaller and dimmer than M53. I could not find it.
M3	CVn	Glob CL	15x, 51x	Again, not easy to find. I used the axis from Gamma to Beta Com. This cluster is brighter than M54 and at 51x seems a large white/grey blob. 
Jupiter	Cnc	Planet	103x, 72x	Transit of Ganymede on Jupiter. Little black dot on the Equatorial zone. All the other three main satellites were well distict on right.
				
				
				
Date	30/04/2015			
Time	22:00-23:00			
Location	Cambridge, UK			
Altitude	12m			
Temperature	6C (no wind)			
Seeing	2 - Slight undulations			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Nagler 7mm, Nagler 3.5mm			
Power, EP, FOV	15x, 4mm, 4.30deg; 51x, 1.2mm, 1.54deg; 103x, 0.6mm, 0.77deg			
Filters				
Target	Cons	Type	Power	Notes
Moon	Vir	Satellite	51x, 103x	Moon phase 91%. The moon at 103x did not need a filter. It was very crisp and showed details in the South hemisphere despite it was almost full. At 51x, the moon is simply scaled of a factor of 1/2, indicating that the Nagler 3.5mm behaves as a perfect 2x Nagler 7mm. It would be useful to have a Moon map to check the crater's names. 
Jupiter	Cnc	Planet	103x	At 103x Jupiter showed 4 moons and 4 belts. No specific events were visible this evening.
M44	Cnc	Opn CL	15x	Beehive cluster. One of the best wide open cluster. Not many faint stars were visible because of almost full moon. However, the cluster still emerged in the sky.
NGC869/ 884	Per	Opn CL	15x, 51x	Double cluster. Superb cluster. Even if low in the sky, it was a pleasure to see it. At 51x, the cluster emerged from the background and showed more faint stars.
Stock2	Cas	Opn CL	15x	This cluster next to the double cluster is very nice and needs a wide field telescope. Its stars are not so bright and generally of similar magnitude and colour.
Mel20	Per	Opn CL	15x	Alpha Per moving cluster. Wide field telescopes or binoculars are the best for this superb cluster. Even if low in the sky, it was very beautiful to see. >70 stars detectable.
NGC2392	Gem	Pln Neb	15x, 51x	Eskimo nebula. At 15x it was detectable with averted vision. It was easily visible at 51x and appeared like a fuzzy blue/grey small patch next to the star. 
				
				
				
Date	12/05/2015			
Time	21:00-23:45			
Location	Cambridge, UK			
Altitude	12m			
Temperature	6C (wind: 20km/h)			
Seeing	2 - Slight undulations			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Nagler 13mm, Nagler 7mm, Nagler 3.5mm, Bresser SA 2x			
Power, EP, FOV	15x, 4mm, 4.30deg; 28x, 2.2mm, 2.80deg; 51x, 1.2mm, 1.54deg; 103x, 0.6mm, 0.77deg; 206x, 0.3mm, 0.38deg			
Filters				
Target	Cons	Type	Power	Notes
Jupiter	Cnc	Planet	103x, 206x	Observed in the twilight. Still visible at 206x with some detail but the new tripod is not up to this sort of magnifications. To be fair, the new tripod was fine at 103x but only when there was no wind. 3 belts and 4 moons visible. It would be interesting to try 206x with my solid tripod.
Venus	Gem	Planet	103x	Observed in the twilight. Visible 60% of its phase. No cloud detail was detectable. A polarised filter might help on this target.
M44	Cnc	Opn CL	15x, 28x	The Nagler 13mm offers the best view. Its fov covers the whole object nicely. Image not degraded at all and the background sky was darkened just the right amount for maximising contrast. Exit pupil of about 2.0mm shows a really nice brightness / contrast for point source DSO.
NGC869/ 884	Per	Opn CL	15x, 28x	Double Cluster. Again, the Nagler 13 offering almost 3 degrees of fov shows the full object with great detail but conserving an adequate image brightness. 
Stock2	Cas	Opn CL	15x, 28x	As above. 
M103 or NGC457	Cas	Opn CL	28x	Not sure whether I saw M103 or NGC457 (the Owl Cluster) though. A clear double star was well visible and there were a few dim stars in the background were also detectable. This object starts being visible at 28x. It is relatively small, but a lovely target. I think it was M103 as my memory seems more similar to the images.
M60	Vir	Galaxy	15x, 28x	Turn West to Vindemiatrix. A little crown of star is visible slightly South. Continue and you see a little arrow of stars and a single star in the North. M60 is between these two objects. Not detectable at 15x. Detectable via averted vision at 28x. A patch of grey. The sky was not fully dark though and my eye was not dark adapted. I believe this object can show more detail. 
27 Hya	Hya	Dbl Star	15x, 28x	Easily split. Colours detectable.
M13	Her	Glob CL	15x, 28x	Detectable at 15x, but nicer at 28x. No star was resolved. It would be interesting to try 51x although I guess this might be too much. 
M57	Lyr	Pln Neb	15x, 28x, 51x	Ring Nebula. For the first time, I managed to see this object with the TV-60. I find extremely difficult to detect it at 15x unless I map the nearby stars with Stellarium. At 28x M57 is clearly visible and appears as a grey blob. At 51x the ring is detectable. I did not try to use an OIII filter because I was freezing due to lack of cloths and about to leave. I believe this target will show much more detail at 51x with OIII filter.
Saturn	Sco	Planet	103x	Very low on the horizon and therefore not the best moment for viewing this target. Despite this, rings and titan were visible. Neither the Cassini division nor belts were detectable.
				
				
				
Date	13/05/2015			
Time	21:00-0:00			
Location	Cambridge, UK			
Altitude	12m			
Temperature	8C (no wind)			
Seeing	1 - Perfect seeing			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Nagler 13mm, Nagler 3.5mm, Bresser SA 2x			
Power, EP, FOV	15x, 4mm, 4.30deg; 28x, 2.2mm, 2.80deg; 103x, 0.6mm, 0.77deg; 206x, 0.3mm, 0.38deg			
Filters	Astronomik OIII			
Target	Cons	Type	Power	Notes
Jupiter	Cnc	Planet	103x, 206x	Observed in the twilight. The idea started as a joke because I thought the image would have been too dark for discerning any detail. Instead, it was possible to perceive a little amount of shades on the two major belts of the planet. The boundaries of the other two less visible belts (North and South hemisphere, respectively) were also there. At 103x I was able to see the boundaries of these two belts on the 'equator side', but not on the 'pole side'. At 206x these were noticeable. 4 moons were detectable and one was just about to get closer to Jupiter. I agree with Gerry (sgl: jetstream) that watching Jupiter in twilight shows more contrast. I was also able to see some red-ish colour on the major two belts, which instead is less noticeable when watching Jupiter in the dark. Looking at a bright source before watching the planet did not help me instead. I found I had more difficulty to notice details. Although the exit pupil was only 0.3mm, floaters did not cause me serious problems. Interestingly, I found floaters to be a problem when watching the Sun at 103x. Could these be related to overall image brightness? 
Venus	Gem	Planet	103x, 206x	Observed in the twilight. Visible 60% of its phase. No cloud detail was detectable. At 206x, on one side of the focus, Venus appeared violet, on the other side green/yellow. When in focus, there was no colour aberration. Curiously, at this magnification it was still very bright suggesting that a variable polarising filter might be beneficial. 
NGC188	UMi	Opn CL	28x	The detail of this target seemed accessible, but I did not manage to see anything in the position suggested by Stellarium. Unfortunately, I did not have a star atlas with me. 
Alpha	UMi	Dbl Star	28x, 103x	Polaris. A nice target because of the large difference in brightness between the two stars. Polaris' companion was dim grey and detectable at 28x with some difficulty. 103x easily split the two stars. 
M60	Vir	Galaxy	28x	It was detectable with averted vision at 28x. It appeared as a grey patch without a structure. I tried M58, but it was not visible. I believe that to see these targets with this small telescope, very dark skies are required.
NGC6992/ 6960	Cyg	SN Rem	15x + OIII	Veil Nebula. No visible, although it is not the best time of the year to see this target.
M57	Lyr	Pln Neb	15x + OIII	Ring Nebula. The OIII filter largely improves the detection of this nebula at 15x. Without a filter, its detection is not easy. It emerges in the sky as a grey little ball. I believe the Nagler 7mm or even the Vixen 5mm can give great views when combined with an OIII filter.
Saturn	Sco	Planet	103x	It was a bit higher than yesterday, but unfortunately, my telescope and eyepieces were soaked with humidity and could not really see this target after the first 5 min. Rings were clearly defined, and I believe the Cassini division could have been detectable.
				
				
				
Date	20/05/2015			
Time	21:30-0:00			
Location	Cambridge, UK			
Altitude	12m			
Temperature	9C (no wind)			
Seeing	3 - Moderate seeing			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Nagler 13mm, Nagler 3.5mm, Bresser SA 2x			
Power, EP, FOV	15x, 4mm, 4.30deg; 28x, 2.2mm, 2.80deg; 103x, 0.6mm, 0.77deg; 206x, 0.3mm, 0.38deg			
Filters	Astronomik OIII, Single Polarising Filter			
Target	Cons	Type	Power	Notes
Jupiter	Cnc	Planet	103x +/- SPF, 206x + SPF	Observed in the twilight. The SPF noticeably improved the view. Four belts and the transit of Callisto were easily visible at both 103x and 206x. The use of a SPF seemed to stabilise the image and improved contrast. A fair amount of shades were also perceptible on the main two belts. The transit appeared as a crisp black dot on the planet atmosphere. Without the SPF it was only possible to see the two main belts and no shade on them. They simply appeared as two thick lines across the planet. Interestingly the transit shadow appeared a tiny bit better without the filter. To me, using the SPF requires a bit of experience in order to rotate the eyepiece to gain the best contrast. However this is feasible.
Venus	Gem	Planet	103x +/- SPF, 206x + SPF	Observed in the twilight. Visible 60% of its phase. No cloud detail was detectable even with the SPF. Planet glare was reduced but it was very difficult to focus, likely due to the average seeing and high magnification.
NGC869/ 884	Per	Opn CL	15x, 28x	Double Cluster. This target is superb with the Nagler 13. Although low on the horizon, it still offers nice contrast with the background sky and the 2.8deg of fov show the object with all its context.
M56	Lyr	Glob CL	15x, 28x	This is the first time I detect this target. It is quite challenging to find with a 60mm but not impossible. I used the Sheliak (Beta Lyrae) and Sulafat (Gamma Lyrae) as pointers to target M56 along the line passing through these two stars on the side of Sulafat. M56 was detectable with a 15x using an atlas but was very faint and averted vision was almost required to find it. At 28x the object was more visible, but did not show much detail as it only appeared as a soft grey patch. This target required larger aperture and / or darker skies.
